,Quarter Year,Belfast Standardised Price,Antrim and Newtownabbey Standardised Price Mean,Ards and North Down Standardised Price Mean,Armagh City Banbridge and Craigavon Standardised Price Mean,Belfast Standardised Price Mean,Causeway Coast and Glens Standardised Price Mean,Derry City and Strabane Standardised Price Mean,Fermanagh and Omagh Standardised Price Mean,Lisburn and Castlereagh Standardised Price Mean,Mid and East Antrim Standardised Price Mean,Mid Ulster Standardised Price Mean,Newry Mourne and Down Standardised Price Mean
0,Q1 2005,105516.5044,,,,,,,,,,,
1,Q2 2005,106309.1702,,,,,,,,,,,
2,Q3 2005,115847.3007,,,,,,,,,,,
3,Q4 2005,117023.9811,,,,,,,,,,,
4,Q1 2006,118713.2037,,,,,,,,,,,
5,Q2 2006,134320.8816,,,,,,,,,,,
6,Q3 2006,151257.365,,,,,,,,,,,
7,Q4 2006,170931.2441,,,,,,,,,,,
8,Q1 2007,186492.7613,,,,,,,,,,,
9,Q2 2007,204293.7474,,,,,,,,,,,
10,Q3 2007,213625.9302,,,,,,,,,,,
11,Q4 2007,196167.5569,,,,,,,,,,,
12,Q1 2008,177481.7326,,,,,,,,,,,
13,Q2 2008,168433.8207,,,,,,,,,,,
14,Q3 2008,157723.0017,,,,,,,,,,,
15,Q4 2008,134570.5325,,,,,,,,,,,
16,Q1 2009,127599.9387,,,,,,,,,,,
17,Q2 2009,134215.5026,,,,,,,,,,,
18,Q3 2009,136800.442,,,,,,,,,,,
19,Q4 2009,134657.7972,,,,,,,,,,,
20,Q1 2010,128524.4348,,,,,,,,,,,
21,Q2 2010,126796.2124,,,,,,,,,,,
22,Q3 2010,122763.0332,,,,,,,,,,,
23,Q4 2010,113296.3286,,,,,,,,,,,
24,Q1 2011,106996.2147,,,,,,,,,,,
25,Q2 2011,107326.2305,,,,,,,,,,,
26,Q3 2011,106096.6398,,,,,,,,,,,
27,Q4 2011,102659.8693,,,,,,,,,,,
28,Q1 2012,93541.53121,,,,,,,,,,,
29,Q2 2012,95297.8532,,,,,,,,,,,
30,Q3 2012,93797.39514,,,,,,,,,,,
31,Q4 2012,90431.0088,,,,,,,,,,,
32,Q1 2013,87890.02227,,,,,,,,,,,
33,Q2 2013,90661.24977,,,,,,,,,,,
34,Q3 2013,93800.35307,,,,,,,,,,,
35,Q4 2013,95599.41799,,,,,,,,,,,
36,Q1 2014,96223.77126,,,,,,,,,,,
37,Q2 2014,100891.7324,,,,,,,,,,,
38,Q3 2014,103412.6809,,,,,,,,,,,
39,Q4 2014,105087.1174,,,,,,,,,,,
40,Q1 2015,105685.7618,,,,,,,,,,,
41,Q2 2015,108328.6806,,,,,,,,,,,
42,Q3 2015,112844.0686,,,,,,,,,,,
43,Q4 2015,113013.8065,,,,,,,,,,,
44,Q1 2016,110980.8505,,,,,,,,,,,
45,Q2 2016,119206.0036,,,,,,,,,,,
46,Q3 2016,118772.1258,,,,,,,,,,,
47,Q4 2016,119086.1905,,,,,,,,,,,
48,Q1 2017,116898.3391,,,,,,,,,,,
49,Q2 2017,120350.9443,,,,,,,,,,,
Antrim and Newtownabbey Standardised Price,,,136725.598148,,,,,,,,,,
Ards and North Down Standardised Price,,,,158321.055246,,,,,,,,,
Armagh City Banbridge and Craigavon Standardised Price,,,,,119666.60519,,,,,,,,
Belfast Standardised Price,,,,,,123964.845652,,,,,,,
Causeway Coast and Glens Standardised Price,,,,,,,138142.044557,,,,,,
Derry City and Strabane Standardised Price,,,,,,,,113123.642759,,,,,
Fermanagh and Omagh Standardised Price,,,,,,,,,122436.172842,,,,
Lisburn and Castlereagh Standardised Price,,,,,,,,,,158354.632614,,,
Mid and East Antrim Standardised Price,,,,,,,,,,,126788.262368,,
Mid Ulster Standardised Price,,,,,,,,,,,,129439.122454,
Newry Mourne and Down Standardised Price,,,,,,,,,,,,,140336.675456
